xlsx_city,xlsx_town,xlsx_admin_village,blocked_count
云浮,大湾镇,梦葛行政村,7
云浮,宝粤茜塘镇,满南行政村,7
云浮,宝粤茜塘镇,满塘社区,7
云浮,宝粤茜塘镇,黄金满行政村,7
云浮,素龙街道,通表行政村,7
惠州,宝多祝镇,增光社区,7
惠州,宝多祝镇,徐圩行政村,7
惠州,平海镇,佛园行政村,7
惠州,铁涌镇,新民行政村,7
惠州,陈江街道,惠环街道红旗行政村,7
汕头,仙门城社区,仙门城社区,7
汕尾,水唇镇,螺洞行政村,7
汕尾,粤新田镇,激石溪行政村,7
江门,三埠街道,建联居民区,7
江门,塘口镇,裡村行政村,7
江门,百合镇,松薛行政村,7
河源,全曾田镇,两行政村,7
河源,全曾田镇,红十月行政村,7
河源,全粤蓝口镇,礫下行政村,7
河源,凤安镇,小古行政村,7
河源,凤安镇,鹿塘行政村,7
河源,忠信镇,水澹行政村,7
河源,新回龙镇,中联行政村,7
河源,粤蓝塘镇,嘉元行政村,7
河源,超全粤叶潭镇,儒轝行政村,7
河源,超全粤叶潭镇,街镇社区,7
清远,下钛镇,灯塔行政村,7
清远,下钛镇,高洞行政村,7
清远,九陂镇,双塘行政村,7
清远,全龙塘镇,凤城街道古城社区,7
清远,全龙塘镇,清郊社区,7
清远,杨梅镇,坪洞行政村,7
清远,汤塘镇,泣江行政村,7
清远,禾云镇,泣坑行政村,7
清远,连州镇,龙嘴行政村,7
清远,雪西牛镇,石角行政村,7
清远,雪西牛镇,红桥行政村,7
湛江,东简街道,三星行政村,7
湛江,全河唇镇,白藤行政村,7
湛江,全覃巴镇,山茶行政村,7
湛江,全长山镇,长岭行政村,7
湛江,前山镇,地塘行政村,7
湛江,唐家镇,北样行政村,7
湛江,振文镇,低桐行政村,7
湛江,津前社区,东山街道北山行政村,7
湛江,白沙社区,加洋行政村,7
湛江,石岭镇,域堤塘行政村,7
湛江,石颈镇,东埔行政村,7
湛江,西街,水洒行政村,7
湛江,西街,限口行政村,7
湛江,超全南山镇,文丰园行政村,7
湛江,超全南山镇,石岭行政村,7
湛江,超全吴阳镇,大地行政村,7
湛江,超宝良桐镇,上阁桐行政村,7
湛江,黄坡镇,下村行政村,7
湛江,黄坡镇,塘口行政村,7
湛江,黄坡镇,蓼罗行政村,7
潮州,浮滨镇,沃潭行政村,7
肇庆,中洲镇,白良行政村,7
肇庆,城西街道,沙街社区,7
肇庆,大湾镇,石印行政村,7
肇庆,江谷镇,正隆社区,7
肇庆,河儿口镇,梦炭行政村,7
肇庆,洽水镇,旺兰行政村,7
肇庆,罗董镇,大洞行政村,7
肇庆,莲都镇,芬守行政村,7
肇庆,黄岗街道,三村社区,7
肇庆,黄岗街道,沙湖社区,7
肇庆,黄岗街道,睦岗街道大龙社区,7
茂名,全钱排镇,竹桐行政村,7
茂名,大坡镇,大坪行政村,7
茂名,宝长岐镇,东方行政村,7
茂名,山阁镇,那际行政村,7
茂名,思贺镇,大榔行政村,7
茂名,新坡镇,高岭行政村,7
茂名,林尘镇,古峰行政村,7
茂名,潘州街道,杨郡行政村,7
茂名,荷花镇,新田行政村,7
茂名,袂花镇,邦决行政村,7
茂名,鳌头镇,塘札行政村,7
茂名,鳌头镇,塘边行政村,7
阳江,河镇,阳三行政村,7
阳江,潭水镇,新凤行政村,7
韶关,东升社区,贞江行政村,7
韶关,丹霞街道,岭田行政村,7
韶关,丹霞街道,董联行政村,7
韶关,周田镇,上坪行政村,7
韶关,城南社区,东南行政村,7
韶关,城口镇,东罗行政村,7
韶关,大桥镇,岐石行政村,7
韶关,扶溪镇,厚塘行政村,7
韶关,扶溪镇,古夏行政村,7
韶关,秀水镇,长塘行政村,7
韶关,粤石塘镇,水历行政村,7
韶关,长江镇,学堂坳行政村,7
韶关,闻韶镇,下徐行政村,7
韶关,闻韶镇,华塘行政村,7
韶关,雪红山镇,新白行政村,7
韶关,雪西河镇,前进行政村,7
东莞,樟木头镇,金河社区,6
云浮,云城街道,大塱行政村,6
云浮,前锋镇,楚蓬行政村,6
云浮,嘴粤桂圩镇,莆口行政村,6
云浮,富林镇,南浦行政村,6
云浮,建城镇,冲口行政村,6
云浮,罗城街道,中区社区,6
云浮,罗城街道,细坑社区,6
云浮,罗城街道,西区社区,6
惠州,平海镇,平海社区,6
惠州,秋长街道,官山行政村,6
惠州,罗阳镇,赤竹坑行政村,6
惠州,陈江街道,西坑社区,6
惠州,黄埠镇,西冲行政村,6
惠州,龙江镇,广尾行政村,6
梅州,宝水寨镇,下村行政村,6
梅州,湖寮镇,营村行政村,6
梅州,西河镇,上山行政村,6
汕头,隆都镇,上北行政村,6
汕尾,上护镇,砼二行政村,6
汕尾,东坑镇,福新行政村,6
汕尾,博美社区,花城行政村,6
汕尾,新民小区,前堆行政村,6
汕尾,联安镇,十字岗行政村,6
汕尾,金海社区,芳荣行政村,6
河源,全曾田镇,梅龙行政村,6
河源,全曾田镇,永新行政村,6
河源,全曾田镇,黄村行政村,6
河源,凤安镇,宜良行政村,6
河源,半江镇,横轝行政村,6
河源,大湖镇,罗经行政村,6
河源,新回龙镇,群星行政村,6
河源,紫城镇,东平行政村,6
清远,大崑镇,秤架行政村,6
清远,小三江镇,梅洞行政村,6
清远,山塘镇,中山行政村,6
清远,英红镇,红光社区,6
清远,雪西牛镇,联群行政村,6
湛江,全长山镇,和寮行政村,6
湛江,全长山镇,榄排行政村,6
湛江,前山镇,下洋行政村,6
湛江,前山镇,海星行政村,6
湛江,唐家镇,红屋行政村,6
湛江,木棉社区,何宅寮行政村,6
湛江,杨家镇,倜悦行政村,6
湛江,西街,三端行政村,6
湛江,西街,文塔行政村,6
湛江,西街,桥头行政村,6
湛江,超全南山镇,和家行政村,6
肇庆,全粤潭布镇,前桐行政村,6
肇庆,冷坑镇,爱三行政村,6
肇庆,南街镇,星坪行政村,6
肇庆,坳仔镇,东西行政村,6
肇庆,坳仔镇,山奢行政村,6
肇庆,坳仔镇,黄翰行政村,6
肇庆,大岗镇,上亭行政村,6
肇庆,官圩镇,大莆行政村,6
肇庆,永固镇,富邦行政村,6
肇庆,渔涝镇,梦良行政村,6
肇庆,诗洞镇,实源行政村,6
肇庆,黄岗街道,大冲社区,6
肇庆,黄岗街道,大洲社区,6
肇庆,黄岗街道,睦岗社区,6
茂名,东山街道,上坡行政村,6
茂名,东岸镇,河朗坡行政村,6
茂名,公馆镇,十万七行政村,6
茂名,合水镇,高垮行政村,6
茂名,城南街道,锦堂社区,6
茂名,宝光街道,鹤山行政村,6
茂名,新坡镇,车田行政村,6
茂名,粤观珠镇,佛子楼行政村,6
茂名,粤黄岭镇,山蕉窝行政村,6
茂名,荷塘镇,松明行政村,6
茂名,袂花镇,蕴陂行政村,6
茂名,金精粤石板镇,灯笼坡行政村,6
茂名,金马贵镇,厚元行政村,6
茂名,雪北界镇,六俵行政村,6
阳江,岗美镇,埠滘行政村,6
阳江,河镇,司马行政村,6
阳江,河镇,大塘行政村,6
阳江,河镇,新竹行政村,6
阳江,白沙街道,岗华行政村,6
韶关,丹霞街道,夏富行政村,6
韶关,丹霞街道,康溪行政村,6
韶关,丹霞街道,新龙行政村,6
韶关,丹霞街道,河富行政村,6
韶关,司前镇,甘太行政村,6
韶关,周田镇,下洞行政村,6
韶关,周田镇,雷坑行政村,6
韶关,周陂镇,礫下行政村,6
韶关,扶溪镇,左龙行政村,6
韶关,长江镇,冷饭坑行政村,6
韶关,长江镇,木溪行政村,6
韶关,长江镇,芭蕉垅行政村,6
韶关,长江镇,莲河行政村,6
韶关,雪红山镇,鱼皇行政村,6
中山,南区街道,良都社区,5
云浮,东坝镇,沙冲行政村,5
云浮,云城街道,育华社区,5
云浮,云城街道,马坪社区,5
云浮,宝粤茜塘镇,石碑行政村,5
云浮,罗城街道,东区社区,5
云浮,罗城街道,北区社区,5
云浮,罗城街道,南区社区,5
云浮,罗城街道,城东社区,5
云浮,罗平镇,泣塘行政村,5
云浮,船步镇,双满行政村,5
云浮,船步镇,炉埔行政村,5
云浮,都杨镇,都友行政村,5
广州,永平街道,永泰行政村,5
广州,温泉镇,密石行政村,5
惠州,杨村镇,埔连行政村,5
惠州,麻榨镇,寨下行政村,5
惠州,黄埠镇,王公社区,5
梅州,宝水寨镇,下二行政村,5
梅州,宝水寨镇,黄湖行政村,5
梅州,洋岭社区,洋岭社区,5
梅州,湖寮镇,碗瑶行政村,5
梅州,潭下镇,柏洋行政村,5
梅州,潭江镇,降福行政村,5
梅州,茶阳镇,角庵行政村,5
汕头,隆都镇,下北行政村,5
汕尾,博美社区,博头行政村,5
汕尾,城东镇,圆墩行政村,5
汕尾,梅陇镇,联兴行政村,5
汕尾,第三社区,红湖行政村,5
汕尾,联安镇,麻竹行政村,5
江门,四九镇,下荫行政村,5
江门,圣堂镇,泣朗行政村,5
江门,川岛镇,山咀行政村,5
江门,横陂镇,塘莲行政村,5
江门,牛江镇,莲塘行政村,5
江门,都斛镇,沙冈行政村,5
河源,全丰稔镇,莲风行政村,5
河源,全曾田镇,下寨行政村,5
河源,全曾田镇,欧屋行政村,5
河源,全曾田镇,正昌行政村,5
河源,全曾田镇,江田行政村,5
河源,全曾田镇,百坝行政村,5
河源,全曾田镇,铁岗行政村,5
河源,凤安镇,远光行政村,5
河源,宝古竹镇,孔埔行政村,5
河源,紫城镇,下黄塘行政村,5
河源,紫城镇,宝山行政村,5
河源,紫城镇,洋坑行政村,5
河源,紫城镇,福田行政村,5
河源,紫城镇,腊石行政村,5
河源,紫城镇,锦口行政村,5
清远,下钛镇,上行政村,5
清远,全太和镇,滘星行政村,5
清远,全浸潭镇,崑口行政村,5
清远,全精粤龙坪镇,元璧行政村,5
清远,大崑镇,太平洞行政村,5
清远,大崑镇,杜菜行政村,5
清远,英城街道,矮山坪行政村,5
清远,雪西牛镇,博下行政村,5
湛江,全粤雷高镇,南芬行政村,5
湛江,全长山镇,三下行政村,5
湛江,全长山镇,长吉诵行政村,5
湛江,全长岐镇,良村行政村,5
湛江,前山镇,下园行政村,5
湛江,唐家镇,康村行政村,5
湛江,唐家镇,标角行政村,5
湛江,唐家镇,格内行政村,5
湛江,唐家镇,调和行政村,5
湛江,唐家镇,那胆行政村,5
湛江,大山江街道,东埔行政村,5
湛江,白沙社区,广安行政村,5
湛江,粤曲界镇,金满堂行政村,5
湛江,西连镇,潭螯行政村,5
湛江,西连镇,符宅行政村,5
湛江,西连镇,角尾行政村,5
湛江,超全南山镇,北岭行政村,5
湛江,超全南山镇,迈报行政村,5
湛江,超全塘瑷镇,塘下行政村,5
湛江,超宝良桐镇,大垌行政村,5
湛江,黄坡镇,五和行政村,5
肇庆,凤岗镇,碲下行政村,5
肇庆,白垢镇,瀛村行政村,5
肇庆,黄岗街道,东岗社区,5
肇庆,黄岗街道,河旁社区,5
肇庆,黄田镇,黎崑行政村,5
茂名,中桐镇,中桐社区,5
茂名,全大成镇,水美行政村,5
茂名,坡心镇,排河行政村,5
茂名,大坡镇,上良坑行政村,5
茂名,山阁镇,高车行政村,5
茂名,袂花镇,文礼行政村,5
茂名,超全贵子镇,迴龙行政村,5
茂名,雪北界镇,高桐行政村,5
茂名,鳌头镇,潮利行政村,5
阳江,城西街道,东砵行政村,5
阳江,河镇,石忽行政村,5
韶关,丹霞街道,中心行政村,5
韶关,丹霞街道,城南行政村,5
韶关,丹霞街道,新东行政村,5
韶关,丹霞街道,新莲行政村,5
韶关,丹霞街道,瑶族行政村,5
韶关,丹霞街道,白莲行政村,5
韶关,丹霞街道,红星行政村,5
韶关,乳城镇,坝厂行政村,5
韶关,扶溪镇,紫岭行政村,5
韶关,江湾镇,湖洋行政村,5
韶关,石角社区,张田坑行政村,5
韶关,秀水镇,出水岩行政村,5
韶关,秀水镇,开封行政村,5
韶关,秀水镇,斯茅坪行政村,5
韶关,秀水镇,石冲行政村,5
韶关,粤石塘镇,下中坌行政村,5
韶关,闻韶镇,塘源行政村,5
东莞,清溪镇,厦堤行政村,4
东莞,高埗镇,洗沙行政村,4
中山,东凤镇,东兴社区,4
云浮,云城街道,蟠龙社区,4
云浮,罗平镇,双莲行政村,4
云浮,罗平镇,梦北行政村,4
广州,太平镇,莱地塱行政村,4
广州,花城街,公益行政村,4
惠州,平潭镇,新田埔行政村,4
惠州,蓝田瑶族乡,红星行政村,4
惠州,观音阁镇,塘角行政村,4
惠州,陈江街道,中星社区,4
惠州,黄埠镇,盐洲社区,4
惠州,龙田镇,江冚行政村,4
梅州,仁居镇,礫头行政村,4
梅州,全转水镇,黄梅行政村,4
梅州,八尺镇,石峰行政村,4
梅州,松口镇,介溪行政村,4
梅州,石扇镇,西南行政村,4
