dialect_raw,raw_count,matched_rowid_count,suggestion_type,suggested_final_write_value,suggested_final_count,family_mix,subgroup_mix,clean_confidence_mix,candidate_final_values
饶平客家话,22,17,stable_single_mapping,客家,22,客家::22,,high::22,客家::22
使用潮汕方言,21,17,stable_single_mapping,闽·潮汕话,21,闽::21,潮汕话::21,medium::21,闽·潮汕话::21
使用闽南方言饶平潮州话,21,17,stable_single_mapping,闽·潮汕话,21,闽::21,潮汕话::21,medium::21,闽·潮汕话::21
客家方言顺天话,21,15,stable_single_mapping,客家,21,客家::21,,high::21,客家::21
粤方言电白白话,21,18,stable_single_mapping,粤,21,粤::21,,high::21,粤::21
客家方言双江话,20,17,stable_single_mapping,客家,20,客家::20,,high::20,客家::20
客家方言涧头话,20,15,stable_single_mapping,客家,20,客家::20,,high::20,客家::20
客家方言阳春话,20,14,stable_single_mapping,客家,20,客家::20,,high::20,客家::20
闽南方言,20,6,stable_single_mapping,闽,20,闽::20,,high::20,闽::20
使用潮州话,19,11,stable_single_mapping,闽·潮汕话,19,闽::19,潮汕话::19,medium::19,闽·潮汕话::19
使用蓝田话,19,8,stable_single_mapping,少数民族·蓝田话,19,少数民族::19,蓝田话::19,medium::19,少数民族·蓝田话::19
先辈使用客家方言，现村民使用粤方言,19,15,stable_single_mapping,粤、客家,19,混合::19,,medium::19,粤、客家::19
客家方音,19,16,stable_single_mapping,客家,19,客家::19,,high::19,客家::19
粤方言整头话,19,13,stable_single_mapping,粤,19,粤::19,,high::19,粤::19
使用吴川话,18,16,stable_single_mapping,粤·吴川话,18,粤::18,吴川话::18,medium::18,粤·吴川话::18
使用雷州话,18,18,stable_single_mapping,闽·雷州话,18,闽::18,雷州话::18,medium::18,闽·雷州话::18
客家方言和蓝山话,18,0,stable_single_mapping,客家,18,客家::18,,high::18,客家::18
潮汕民系，通用闽南方言潮州话,18,16,stable_single_mapping,闽·潮汕话,18,闽::18,潮汕话::18,medium::18,闽·潮汕话::18
通用涯话,18,15,stable_single_mapping,客家·涯话,18,客家::18,涯话::18,medium::18,客家·涯话::18
客家方言阳春涯话,17,16,stable_single_mapping,客家·阳春涯话,17,客家::17,阳春涯话::17,high::17,客家·阳春涯话::17
客家话和黄圃话,17,13,stable_single_mapping,客家、土话,17,混合::17,黄圃话::17,medium::17,客家、土话::17
广府民系，使用粤方言东莞塘厦话,17,5,stable_single_mapping,粤,17,粤::17,,medium::17,粤::17
星子话（广府民系）,17,15,stable_single_mapping,粤·星子话,17,粤::17,星子话::17,medium::17,粤·星子话::17
